time,close,rsi_15m,ema_15m,macd_15m,rsi_30m,ema_30m,macd_30m
2025-04-11 23:30:00,3236.04,55.295404317008284,3232.975756605677,0.10011737678283739,59.71258679175124,3229.2378424245126,-1.0482258094922088
2025-04-11 23:45:00,3237.9,57.64085660977301,3233.444732167041,0.30485328218285623,59.71258679175124,3229.2378424245126,-1.0482258094922088
2025-04-14 01:00:00,3220.5,37.70921974668221,3232.2119005320847,-0.701632563109358,46.23026970928536,3228.266619336464,-2.0982278584004916
2025-04-14 01:15:00,3219.04,36.56664161921486,3230.957433814743,-1.3956743615304856,46.23026970928536,3228.266619336464,-2.0982278584004916
2025-04-14 01:30:00,3220.53,38.61095437009284,3229.9643448800057,-1.6660563340495091,47.69364539165037,3227.5945603520386,-2.573317020157175
2025-04-14 01:45:00,3221.21,39.56815464828246,3229.1305977485763,-1.7046176938618671,47.69364539165037,3227.5945603520386,-2.573317020157175
2025-04-14 02:00:00,3219.6,38.055194371733016,3228.222921772521,-1.73811421614943,46.06960104506783,3226.7379355566063,-2.9623402862840162
2025-04-14 02:15:00,3218.6,37.106150182391275,3227.3064530322813,-1.7237899645381303,46.06960104506783,3226.7379355566063,-2.9623402862840162
2025-04-14 02:30:00,3219.05,37.85718591996603,3226.5201241720642,-1.5837790006766248,49.73494756978231,3226.4571797893104,-2.7724963234534235
2025-04-14 02:45:00,3223.79,45.27068063403051,3226.2601123461536,-1.0949421161304795,49.73494756978231,3226.4571797893104,-2.7724963234534235
2025-04-14 03:00:00,3222.89,44.19265033960273,3225.9391492655677,-0.770529568997242,49.92561570282365,3226.2288769522333,-2.5374453563106725
2025-04-14 03:15:00,3224.06,45.99314109578988,3225.760182668847,-0.4323224960609493,49.92561570282365,3226.2288769522333,-2.5374453563106725
2025-04-14 03:30:00,3220.81,41.944946970340396,3225.2887367003855,-0.38428737887527475,47.61320311470431,3225.7166029567825,-2.5026833936181356
2025-04-14 03:45:00,3220.85,42.01259625956911,3224.8659998717776,-0.3098085195756908,47.61320311470431,3225.7166029567825,-2.5026833936181356
2025-04-14 04:00:00,3220.87,42.04895753867588,3224.485428455418,-0.22322977688748535,53.46333102594203,3226.0235931513744,-1.8684372553627622
2025-04-14 04:15:00,3228.94,54.458169273873715,3224.909673364426,0.38063531708748455,53.46333102594203,3226.0235931513744,-1.8684372553627622
2025-04-14 04:30:00,3240.65,65.87653817132086,3226.4087520916232,1.5084986198947403,59.849677729478486,3227.3203938036245,-0.7208716313974821
2025-04-14 04:45:00,3239.64,64.37728355571909,3227.66887094004,2.0904705331735864,59.849677729478486,3227.3203938036245,-0.7208716313974821
2025-04-14 05:00:00,3243.46,67.39930891735912,3229.1727879933696,2.6032550808489416,55.940083114344624,3228.011784869946,-0.31584795421250345
2025-04-14 05:15:00,3234.58,55.59274605076826,3229.68776056543,2.2293756394220416,55.940083114344624,3228.011784869946,-0.31584795421250345
2025-04-14 05:30:00,3234.32,55.287367158852575,3230.128926225865,1.8643788293572214,54.01752821152119,3228.393519644237,-0.23720315334715236
2025-04-14 05:45:00,3232.02,52.537994857255775,3230.3090284900686,1.3896458857926859,54.01752821152119,3228.393519644237,-0.23720315334715236
2025-04-14 06:00:00,3231.3,51.67173138507421,3230.40340672911,0.9686833698147075,54.621118133293145,3228.8265177733574,-0.14462289551216845
