rsi_30m,ema_30m,macd_30m,label
59.71258679175124,3229.237842424513,-1.0482258094922088,0
59.71258679175124,3229.237842424513,-1.0482258094922088,0
46.23026970928536,3228.266619336464,-2.098227858400492,1
46.23026970928536,3228.266619336464,-2.098227858400492,1
47.69364539165037,3227.5945603520386,-2.573317020157175,1
47.69364539165037,3227.5945603520386,-2.573317020157175,1
46.06960104506783,3226.7379355566063,-2.962340286284016,1
46.06960104506783,3226.7379355566063,-2.962340286284016,1
49.73494756978231,3226.4571797893104,-2.7724963234534235,1
49.73494756978231,3226.4571797893104,-2.7724963234534235,1
49.92561570282365,3226.2288769522333,-2.5374453563106725,1
49.92561570282365,3226.2288769522333,-2.5374453563106725,1
47.61320311470431,3225.7166029567825,-2.502683393618136,1
47.61320311470431,3225.7166029567825,-2.502683393618136,1
53.46333102594203,3226.0235931513744,-1.8684372553627624,1
53.46333102594203,3226.0235931513744,-1.8684372553627624,0
59.849677729478486,3227.3203938036245,-0.7208716313974821,0
59.849677729478486,3227.3203938036245,-0.7208716313974821,0
55.940083114344624,3228.011784869946,-0.3158479542125034,0
55.940083114344624,3228.011784869946,-0.3158479542125034,1
54.01752821152119,3228.393519644237,-0.2372031533471523,0
54.01752821152119,3228.393519644237,-0.2372031533471523,0
54.621118133293145,3228.8265177733574,-0.1446228955121684,0
54.621118133293145,3228.8265177733574,-0.1446228955121684,0
54.15513074985992,3229.164944652085,-0.1422818909375656,0
54.15513074985992,3229.164944652085,-0.1422818909375656,0
54.26018959542886,3229.484473732839,-0.1516271675277023,0
54.26018959542886,3229.484473732839,-0.1516271675277023,0
49.72817215102268,3229.281190520188,-0.5063334897953236,0
49.72817215102268,3229.281190520188,-0.5063334897953236,0
47.75091540973373,3228.8706009468365,-0.8797058147060737,1
47.75091540973373,3228.8706009468365,-0.8797058147060737,0
55.35029331178191,3229.4000675233283,-0.4875986671129704,0
55.35029331178191,3229.4000675233283,-0.4875986671129704,0
56.29111216359129,3230.002918235392,-0.1558995213183442,0
56.29111216359129,3230.002918235392,-0.1558995213183442,0
51.93097376830107,3230.0902593558308,-0.2690217574645301,0
51.93097376830107,3230.0902593558308,-0.2690217574645301,0
52.11367196857383,3230.190234655276,-0.3334033596387495,0
52.11367196857383,3230.190234655276,-0.3334033596387495,0
49.19400185978717,3229.976878973821,-0.5807186266522977,0
49.19400185978717,3229.976878973821,-0.5807186266522977,0
46.28745395202323,3229.467652404886,-0.9367012168854209,1
46.28745395202323,3229.467652404886,-0.9367012168854209,0
48.536240764470925,3229.224066461564,-0.9826193355365462,0
48.536240764470925,3229.224066461564,-0.9826193355365462,0
46.2236076373069,3228.7627267985577,-1.136511321425103,0
46.2236076373069,3228.7627267985577,-1.136511321425103,0
45.83318579705544,3228.3053242463143,-1.212766353452002,0
45.83318579705544,3228.3053242463143,-1.212766353452002,0
34.86257640217809,3226.507674318094,-2.1340657287222524,0
34.86257640217809,3226.507674318094,-2.1340657287222524,0
40.33500296763987,3225.373610097324,-2.274654546800869,1
40.33500296763987,3225.373610097324,-2.274654546800869,0
48.09265339838091,3225.1608853261496,-1.6982892894597923,0
48.09265339838091,3225.1608853261496,-1.6982892894597923,0
48.29611003254672,3224.9912771998497,-1.22858099140975,0
48.29611003254672,3224.9912771998497,-1.22858099140975,0
40.17103578497903,3223.7425841331974,-1.596765282917903,0
40.17103578497903,3223.7425841331974,-1.596765282917903,0
37.08070030083108,3222.1090046919403,-2.0708765445482777,0
37.08070030083108,3222.1090046919403,-2.0708765445482777,1
36.40228257299096,3220.5176709117554,-2.32015471494554,1
36.40228257299096,3220.5176709117554,-2.32015471494554,1
36.0442078062602,3219.020749872541,-2.37250376232691,1
36.0442078062602,3219.020749872541,-2.37250376232691,1
35.88581285640953,3217.642583218013,-2.2709336286681685,1
35.88581285640953,3217.642583218013,-2.2709336286681685,1
43.006469090032496,3217.0242419591546,-1.6358874942330264,0
43.006469090032496,3217.0242419591546,-1.6358874942330264,0
39.21835373665143,3215.957171296378,-1.4573753162291228,1
39.21835373665143,3215.957171296378,-1.4573753162291228,1
34.480921161629595,3214.25648831577,-1.7235702443145016,1
34.480921161629595,3214.25648831577,-1.7235702443145016,1
41.34080320578495,3213.378727523792,-1.315049276295042,1
41.34080320578495,3213.378727523792,-1.315049276295042,1
43.683156234536696,3212.828372521526,-0.7815689044228291,1
43.683156234536696,3212.828372521526,-0.7815689044228291,1
46.26474069766721,3212.602813233762,-0.1768056689354482,1
46.26474069766721,3212.602813233762,-0.1768056689354482,1
49.41670301451232,3212.742545306737,0.4891998201057586,0
49.41670301451232,3212.742545306737,0.4891998201057586,0
46.25975735348975,3212.4975409918097,0.6782920183418968,0
46.25975735348975,3212.4975409918097,0.6782920183418968,1
44.60726922450197,3212.075870421161,0.6718775099129326,1
44.60726922450197,3212.075870421161,0.6718775099129326,1
47.71080902434845,3212.00293038105,0.8825144245070655,1
47.71080902434845,3212.00293038105,0.8825144245070655,1
48.51617688080744,3212.0169370114268,1.0629792088926946,1
48.51617688080744,3212.0169370114268,1.0629792088926946,1
48.2494063990136,3212.002943010338,1.1411738962816536,1
48.2494063990136,3212.002943010338,1.1411738962816536,1
46.97772076207437,3211.868377009353,1.0847499434880747,1
46.97772076207437,3211.868377009353,1.0847499434880747,1
49.57203132820469,3211.967579198939,1.1741786970662345,1
49.57203132820469,3211.967579198939,1.1741786970662345,1
48.807152166872285,3211.9916192752303,1.1555697394714652,1
48.807152166872285,3211.9916192752303,1.1555697394714652,1
49.86952318316837,3212.097179344256,1.1677803048678177,1
